coin_id,symbol,coin_name,current_price,market_cap,market_cap_rank,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,circulating_supply,last_updated,ingestion_timestamp
dogecoin,doge,Dogecoin,0.103119,15922425810,10.0,483777589,0.10313,0.100664,0.0010601,1.03872,154385506383.7052,2026-05-25T15:04:30.405Z,2026-05-25 20:34:37.972143
memecore,m,MemeCore,2.9,3786208889,31.0,5266625,3.03,2.84,0.00512171,0.17694,1305324531.298928,2026-05-25T15:04:30.446Z,2026-05-25 20:34:37.972143
shiba-inu,shib,Shiba Inu,5.64e-06,3322529931,34.0,106602292,5.64e-06,5.5e-06,7.127e-08,1.27977,589243264325086.2,2026-05-25T15:04:27.703Z,2026-05-25 20:34:37.972143
pepe,pepe,Pepe,3.63e-06,1526941756,55.0,126701661,3.63e-06,3.52e-06,5.4898e-08,1.53573,420690000000000.0,2026-05-25T15:04:28.918Z,2026-05-25 20:34:37.972143
pump-fun,pump,Pump.fun,0.00181115,640108180,90.0,31148155,0.00181063,0.00169908,7.408e-05,4.26444,353411807634.1184,2026-05-25T15:04:31.477Z,2026-05-25 20:34:37.972143
pudgy-penguins,pengu,Pudgy Penguins,0.00907565,570496626,95.0,72992987,0.00911771,0.00877284,0.00013751,1.53843,62860396090.0,2026-05-25T15:04:30.450Z,2026-05-25 20:34:37.972143
bonk,bonk,Bonk,6.12e-06,538254819,101.0,30203787,6.14e-06,5.88e-06,1.34106e-07,2.24153,87994730614829.44,2026-05-25T15:04:28.758Z,2026-05-25 20:34:37.972143
official-trump,trump,Official Trump,2.09,494802285,107.0,43835329,2.1,2.03,0.01738426,0.84047,237414040.342428,2026-05-25T15:04:30.666Z,2026-05-25 20:34:37.972143
bianrensheng,币安人生,币安人生 (BinanceLife),0.436984,437280595,117.0,16662234,0.460742,0.432185,-0.008763509227265598,-1.96603,1000000000.0,2026-05-25T15:04:31.861Z,2026-05-25 20:34:37.972143
siren-2,siren,Siren,0.501625,364518638,129.0,4706134,0.513671,0.499955,-0.008970836715610053,-1.75694,726788283.0466105,2026-05-25T15:04:30.773Z,2026-05-25 20:34:37.972143
spx6900,spx,SPX6900,0.368107,342064426,132.0,3532749,0.367943,0.340169,0.02280283,6.6037,930993080.8870013,2026-05-25T15:04:28.954Z,2026-05-25 20:34:37.972143
floki,floki,FLOKI,2.981e-05,287733460,156.0,21172267,2.979e-05,2.88e-05,6.07013e-07,2.0785,9652112661420.0,2026-05-25T15:04:27.957Z,2026-05-25 20:34:37.972143
binance-peg-dogecoin,doge,Binance-Peg Dogecoin,0.103155,264651508,,314997,0.103213,0.100692,0.00101037,0.98915,2564000000.0,2026-05-25T15:04:27.894Z,2026-05-25 20:34:37.972143
build-on,b,BUILDon,0.242133,244082807,175.0,8139158,0.265163,0.237649,-0.005397494532826869,-2.18054,1000000000.0,2026-05-25T15:04:30.932Z,2026-05-25 20:34:37.972143
ape-and-pepe,apepe,Ape and Pepe,1.15e-06,240600736,177.0,30207617,1.15e-06,1.13e-06,7.273e-09,0.63914,210000000000000.0,2026-05-25T15:04:29.721Z,2026-05-25 20:34:37.972143
dogwifcoin,wif,dogwifhat,0.195,194494137,194.0,31377021,0.195219,0.183617,0.00702201,3.73555,998926392.0,2026-05-25T15:04:29.396Z,2026-05-25 20:34:37.972143
fartcoin,fartcoin,Fartcoin,0.184659,184493763,200.0,19299050,0.185157,0.174513,0.00540039,3.01262,999975705.550692,2026-05-25T15:04:30.455Z,2026-05-25 20:34:37.972143
cheems-token,cheems,Cheems Token,7.05375e-07,143690756,231.0,1437072,7.36821e-07,6.72021e-07,6.19e-09,0.88538,203672952113698.72,2026-05-25T15:04:28.954Z,2026-05-25 20:34:37.972143
banana-for-scale-2,bananas31,Banana For Scale,0.0120814,120607912,259.0,16543500,0.01224726,0.01123767,0.00054812,4.75253,10000000000.0,2026-05-25T15:04:30.561Z,2026-05-25 20:34:37.972143
ribbita-by-virtuals,tibbir,Ribbita by Virtuals,0.105977,105976021,280.0,1395375,0.106784,0.099934,0.00214213,2.06302,999904783.797368,2026-05-25T15:04:30.653Z,2026-05-25 20:34:37.972143
