coin_id,symbol,coin_name,current_price,market_cap,market_cap_rank,total_volume,price_change_percentage_24h,last_updated,ingestion_timestamp
dogecoin,doge,Dogecoin,0.101788,15714315362,10.0,652798911,0.64544,2026-05-27T19:53:24.655Z,2026-05-28 01:23:26.170903
memecore,m,MemeCore,3.03,3954327631,28.0,9097877,3.80785,2026-05-27T19:53:24.689Z,2026-05-28 01:23:26.170903
shiba-inu,shib,Shiba Inu,5.47e-06,3225155865,34.0,135248144,-0.83097,2026-05-27T19:53:21.970Z,2026-05-28 01:23:26.170903
pepe,pepe,Pepe,3.53e-06,1484086662,56.0,214542416,0.17025,2026-05-27T19:53:23.153Z,2026-05-28 01:23:26.170903
pump-fun,pump,Pump.fun,0.00184359,651117630,88.0,59032322,1.79985,2026-05-27T19:53:25.563Z,2026-05-28 01:23:26.170903
pudgy-penguins,pengu,Pudgy Penguins,0.00836059,525884589,103.0,90885042,-2.5924,2026-05-27T19:53:24.784Z,2026-05-28 01:23:26.170903
bonk,bonk,Bonk,5.91e-06,519813953,104.0,30646225,-0.91489,2026-05-27T19:53:23.018Z,2026-05-28 01:23:26.170903
official-trump,trump,Official Trump,2.0,475315983,113.0,49953239,-0.56334,2026-05-27T19:53:24.937Z,2026-05-28 01:23:26.170903
bianrensheng,币安人生,币安人生 (BinanceLife),0.425269,425318146,121.0,12066989,0.41345,2026-05-27T19:53:07.754Z,2026-05-28 01:23:26.170903
siren-2,siren,Siren,0.481776,349982714,130.0,6002675,1.46993,2026-05-27T19:53:24.763Z,2026-05-28 01:23:26.170903
spx6900,spx,SPX6900,0.350769,326579812,136.0,4633635,-0.52974,2026-05-27T19:53:24.761Z,2026-05-28 01:23:26.170903
floki,floki,FLOKI,2.905e-05,280755766,154.0,29742422,-0.04333,2026-05-27T19:53:22.298Z,2026-05-28 01:23:26.170903
binance-peg-dogecoin,doge,Binance-Peg Dogecoin,0.101827,261175242,,465258,0.85665,2026-05-27T19:53:22.222Z,2026-05-28 01:23:26.170903
build-on,b,BUILDon,0.244942,245083665,169.0,5438823,-1.32335,2026-05-27T19:53:25.200Z,2026-05-28 01:23:26.170903
ape-and-pepe,apepe,Ape and Pepe,1.15e-06,241883277,171.0,36751392,1.00065,2026-05-27T19:53:24.245Z,2026-05-28 01:23:26.170903
dogwifcoin,wif,dogwifhat,0.191646,191537528,191.0,45054478,-0.97654,2026-05-27T19:53:23.620Z,2026-05-28 01:23:26.170903
fartcoin,fartcoin,Fartcoin,0.17288,172883263,203.0,22027878,-0.7077,2026-05-27T19:53:24.728Z,2026-05-28 01:23:26.170903
cheems-token,cheems,Cheems Token,6.33089e-07,129120388,246.0,1002593,-4.6881,2026-05-27T19:53:23.277Z,2026-05-28 01:23:26.170903
ribbita-by-virtuals,tibbir,Ribbita by Virtuals,0.118537,118430717,259.0,1627286,0.54172,2026-05-27T19:53:24.925Z,2026-05-28 01:23:26.170903
banana-for-scale-2,bananas31,Banana For Scale,0.01105929,110691898,269.0,8866585,-6.21722,2026-05-27T19:53:24.745Z,2026-05-28 01:23:26.170903
